NodeName,Index,TCP_x,TCP_y,TCP_z,TCP_Rx,TCP_Ry,TCP_Rz,FLANGE_x,FLANGE_y,FLANGE_z,FLANGE_Rx,FLANGE_Ry,FLANGR_Rz,RawDataSensor0,RawDataSensor1,RawDataSensor2,RawDataSensor3,RawDataSensor4,RawDataSensor5,SPI0-0,SPI0-1,SPI0-2,SPI0-3,SPI0-4,SPI0-5,SPI0-6,SPI0-7,SPI1-0,SPI1-1,SPI1-2,SPI1-3,SPI1-4,SPI1-5,SPI1-6,SPI1-7,
LEVER1_15_11,95,459.77,-73.5079,223.279,3.14023,2.3621,-1.8231,-140.58598,67.72016,104.48084,-112.31046,40.13719,93.61532,-23.6363,-26.943,5.2125,1.31211,-1.21503,-0.0452151,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,96,459.757,-73.5041,223.286,3.14019,2.36211,-1.82306,-140.58699,67.71946,104.481544,-112.309975,40.137196,93.6152,-22.9931,-27.089,5.15144,1.30164,-1.19115,-0.0460581,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,97,459.751,-73.5026,223.29,3.14017,2.36211,-1.82304,-140.58798,67.72017,104.482254,-112.31003,40.1372,93.61511,-22.6615,-27.085,5.1667,1.30856,-1.18826,-0.0505436,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,98,459.746,-73.5017,223.294,3.14015,2.36211,-1.82302,-140.59099,67.72089,104.484375,-112.3101,40.137203,93.61502,-22.4789,-27.2014,5.28992,1.31178,-1.1856,-0.0493532,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,99,459.742,-73.5011,223.295,3.14013,2.36211,-1.82301,-140.59398,67.721596,104.486496,-112.31018,40.137207,93.6149,-22.4428,-27.507,5.53711,1.30702,-1.18121,-0.0458334,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,100,459.742,-73.5011,223.295,3.14013,2.36211,-1.82301,-140.59398,67.721596,104.486496,-112.31018,40.137207,93.6149,-22.4428,-27.507,5.53711,1.30702,-1.18121,-0.0458334,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,101,459.736,-73.5012,223.302,3.1401,2.36212,-1.82299,-140.60199,67.72233,104.49143,-112.30981,40.13779,93.614624,-22.5921,-27.7508,5.91098,1.31881,-1.17723,-0.044858,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,102,459.735,-73.5056,223.309,3.14008,2.36213,-1.82298,-140.607,67.72305,104.49496,-112.30995,40.1378,93.61442,-22.7992,-27.9774,6.16763,1.31765,-1.17964,-0.0479565,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,103,459.735,-73.5056,223.309,3.14008,2.36213,-1.82298,-140.607,67.72305,104.49496,-112.30995,40.1378,93.61442,-22.7992,-27.9774,6.16763,1.31765,-1.17964,-0.0479565,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,104,459.737,-73.51,223.316,3.14005,2.36215,-1.82297,-140.62001,67.72238,104.50271,-112.30916,40.13839,93.61392,-23.2839,-27.9633,6.8856,1.32058,-1.19866,-0.0358717,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,105,459.737,-73.51,223.316,3.14005,2.36215,-1.82297,-140.62001,67.72238,104.50271,-112.30916,40.13839,93.61392,-23.2839,-27.9633,6.8856,1.32058,-1.19866,-0.0358717,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,106,459.745,-73.5121,223.331,3.14004,2.36218,-1.82295,-140.63405,67.7196,104.51115,-112.30853,40.138416,93.61318,-23.7858,-27.6348,7.66512,1.33558,-1.18842,-0.0383694,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,107,459.748,-73.5105,223.337,3.14003,2.36219,-1.82293,-140.64307,67.716805,104.51536,-112.3083,40.138435,93.61271,-23.4507,-27.7066,8.02583,1.32655,-1.18965,-0.0235259,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,108,459.754,-73.5121,223.346,3.14003,2.3622,-1.82292,-140.6511,67.714005,104.51957,-112.307556,40.137882,93.61212,-23.4815,-27.6802,8.07885,1.3089,-1.15783,-0.0180935,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,109,459.76,-73.5162,223.354,3.14003,2.36222,-1.82291,-140.66013,67.710495,104.52448,-112.307434,40.137905,93.61149,-23.0904,-27.2681,8.52355,1.30876,-1.13051,-0.0264082,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,110,459.763,-73.5154,223.363,3.14001,2.36223,-1.82288,-140.67017,67.7063,104.52868,-112.30682,40.13736,93.610725,-22.9879,-27.5127,8.94379,1.2819,-1.09447,-0.0186899,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,111,459.771,-73.5129,223.384,3.14,2.36226,-1.82279,-140.69026,67.69506,104.53706,-112.30524,40.135704,93.608894,-22.873,-27.6638,10.2258,1.29593,-1.06889,-0.0087947,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,112,459.772,-73.5105,223.396,3.13999,2.36226,-1.82273,-140.7003,67.688736,104.541954,-112.30427,40.13517,93.60784,-23.1278,-28.0359,10.5854,1.30534,-1.06633,-0.006385,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,113,459.771,-73.5096,223.404,3.13997,2.36227,-1.82266,-140.71136,67.681,104.546844,-112.30338,40.134064,93.60665,-23.26,-28.3232,10.981,1.31427,-1.08192,0.00142651,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,114,459.771,-73.5096,223.404,3.13997,2.36227,-1.82266,-140.71136,67.681,104.546844,-112.30338,40.134064,93.60665,-23.26,-28.3232,10.981,1.31427,-1.08192,0.00142651,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,115,459.771,-73.5084,223.425,3.13997,2.36227,-1.82252,-140.73448,67.66413,104.55519,-112.30073,40.131298,93.60389,-23.7108,-28.5356,11.2116,1.32396,-1.0943,0.0155921,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
LEVER1_15_11,116,459.771,-73.5084,223.425,3.13997,2.36227,-1.82252,-140.73448,67.66413,104.55519,-112.30073,40.131298,93.60389,-23.7108,-28.5356,11.2116,1.32396,-1.0943,0.0155921,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
