NodeName,Index,TCP_x,TCP_y,TCP_z,TCP_Rx,TCP_Ry,TCP_Rz,FLANGE_x,FLANGE_y,FLANGE_z,FLANGE_Rx,FLANGE_Ry,FLANGR_Rz,RawDataSensor0,RawDataSensor1,RawDataSensor2,RawDataSensor3,RawDataSensor4,RawDataSensor5,SPI0-0,SPI0-1,SPI0-2,SPI0-3,SPI0-4,SPI0-5,SPI0-6,SPI0-7,SPI1-0,SPI1-1,SPI1-2,SPI1-3,SPI1-4,SPI1-5,SPI1-6,SPI1-7,
Start,0,460.244,-73.5928,223.251,3.14017,2.36304,-1.82417,484.813,-212.119,344.945,1.13363,-3.06361,0.0546656,-24.7188,-26.8821,7.74309,1.26549,-1.17614,-0.0862353,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,1,460.244,-73.5928,223.251,3.14017,2.36304,-1.82417,484.813,-212.119,344.945,1.13363,-3.06361,0.0546656,-24.7188,-26.8821,7.74309,1.26549,-1.17614,-0.0862353,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,2,460.248,-73.5973,223.247,3.14017,2.36304,-1.82443,484.794,-212.106,344.964,1.1335,-3.06374,0.054724,-24.9539,-26.9544,7.64945,1.26417,-1.18105,-0.0914165,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,3,460.263,-73.6025,223.236,3.1402,2.36305,-1.82495,484.763,-212.085,344.995,1.13328,-3.06394,0.0548186,-25.3197,-27.2187,8.09021,1.26964,-1.20978,-0.0705021,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,4,460.269,-73.6069,223.231,3.14021,2.36305,-1.82521,484.75,-212.077,345.007,1.1332,-3.06403,0.0548562,-25.4589,-27.1622,7.90144,1.28533,-1.22063,-0.0716543,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,5,460.275,-73.6097,223.226,3.14022,2.36306,-1.82545,484.74,-212.07,345.017,1.13312,-3.06409,0.0548882,-25.5999,-27.2644,7.70958,1.28422,-1.22075,-0.0724911,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,6,460.275,-73.6097,223.226,3.14022,2.36306,-1.82545,484.74,-212.07,345.017,1.13312,-3.06409,0.0548882,-25.5999,-27.2644,7.70958,1.28422,-1.22075,-0.0724911,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,7,460.289,-73.605,223.208,3.14026,2.3631,-1.82587,484.724,-212.059,345.033,1.13301,-3.0642,0.0549375,-27.0901,-28.5614,7.50363,1.25651,-1.21425,-0.0381567,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,8,460.297,-73.6012,223.198,3.14028,2.36314,-1.82603,484.718,-212.055,345.039,1.13297,-3.06424,0.0549557,-28.1521,-29.6209,7.9209,1.29347,-1.25717,-0.0786922,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,9,460.309,-73.6063,223.182,3.14034,2.36319,-1.82625,484.709,-212.049,345.048,1.13291,-3.0643,0.0549815,-30.0289,-32.1158,10.6603,1.44064,-1.45122,-0.0870623,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
