NodeName,index,TCP_x,TCP_y,TCP_z,TCP_Rx,TCP_Ry,TCP_Rz,FLANGE_x,FLANGE_y,FLANGE_z,RowDataSensor0,RowDataSensor1,RowDataSensor2,RowDataSensor3,RowDataSensor4,RowDataSensor5,SPI0-0,SPI0-1,SPI0-2,SPI0-3,SPI0-4,SPI0-5,SPI0-6,SPI0-7,SPI1-0,SPI1-1,SPI1-2,SPI1-3,SPI1-4,SPI1-5,SPI1-6,SPI1-7
Start,1,458.094,-71.1516,226.626,0.0187935,0.867969,1.27086,488.724,-211.866,346.294,-32.6322,-4.97735,6.96132,0.178269,-1.40176,-0.0527774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,2,458.092,-71.1541,226.624,0.0187964,0.867975,1.2706,488.703,-211.849,346.32,-32.5618,-4.86023,7.14548,0.175682,-1.41083,-0.058697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,3,458.092,-71.1541,226.624,0.0187964,0.867975,1.2706,488.703,-211.849,346.32,-32.5618,-4.86023,7.14548,0.175682,-1.41083,-0.058697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,4,458.088,-71.1559,226.623,0.0187943,0.867987,1.27009,488.669,-211.823,346.361,-32.288,-4.94476,6.80237,0.175526,-1.40462,-0.0617975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,5,458.088,-71.1559,226.623,0.0187943,0.867987,1.27009,488.669,-211.823,346.361,-32.288,-4.94476,6.80237,0.175526,-1.40462,-0.0617975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,6,458.088,-71.1559,226.623,0.0187943,0.867987,1.27009,488.669,-211.823,346.361,-32.288,-4.94476,6.80237,0.175526,-1.40462,-0.0617975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,7,458.084,-71.1699,226.619,0.0188166,0.868001,1.26931,488.633,-211.795,346.405,-32.2491,-4.84876,7.05087,0.183449,-1.41671,-0.0395507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,8,458.083,-71.1719,226.618,0.0188155,0.867985,1.2691,488.624,-211.788,346.415,-32.8969,-4.76136,6.84827,0.17659,-1.41468,-0.00988254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,9,458.085,-71.1607,226.609,0.0188163,0.867919,1.26878,488.611,-211.778,346.43,-36.4612,-5.11553,7.71947,0.168268,-1.4581,-0.0426216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,10,458.085,-71.1607,226.609,0.0188163,0.867919,1.26878,488.611,-211.778,346.43,-36.4612,-5.11553,7.71947,0.168268,-1.4581,-0.0426216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,11,458.085,-71.1613,226.605,0.0188245,0.867885,1.26868,488.607,-211.775,346.436,-38.521,-5.30911,8.71089,0.179687,-1.57793,-0.0696631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,12,458.071,-71.1704,226.611,0.018848,0.867862,1.26856,488.601,-211.77,346.443,-40.2269,-5.94883,11.498,0.167642,-1.85278,0.0270114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,13,458.071,-71.1704,226.611,0.018848,0.867862,1.26856,488.601,-211.77,346.443,-40.2269,-5.94883,11.498,0.167642,-1.85278,0.0270114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,14,458.039,-71.1711,226.636,0.0188253,0.867845,1.26857,488.598,-211.768,346.447,-37.3316,-6.70882,9.52143,0.190171,-1.68968,-0.0581023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,15,458.013,-71.1631,226.659,0.0187834,0.86785,1.26863,488.597,-211.768,346.447,-34.2758,-7.05232,8.61307,0.226,-1.52442,-0.103508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,16,458.013,-71.1631,226.659,0.0187834,0.86785,1.26863,488.597,-211.768,346.447,-34.2758,-7.05232,8.61307,0.226,-1.52442,-0.103508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,17,457.949,-71.1333,226.73,0.0185814,0.867884,1.26895,488.598,-211.768,346.446,-29.2198,-8.10862,9.19729,0.253166,-1.39852,-0.0489474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,18,457.922,-71.123,226.772,0.0184446,0.867892,1.26916,488.6,-211.769,346.445,-28.0524,-8.51563,10.4105,0.25334,-1.4406,-0.031549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,19,457.896,-71.1156,226.814,0.0182923,0.867905,1.26939,488.601,-211.77,346.443,-27.5354,-8.32275,11.7139,0.25268,-1.49158,0.00441464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,20,457.864,-71.1128,226.855,0.0181349,0.867937,1.26963,488.603,-211.772,346.441,-27.3489,-8.1956,12.1903,0.221674,-1.51954,0.0692154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,21,457.838,-71.114,226.897,0.0179897,0.867951,1.26987,488.605,-211.774,346.438,-26.4913,-7.89823,11.5095,0.200536,-1.52054,0.0849401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,22,457.818,-71.1255,226.933,0.0178596,0.867959,1.27008,488.608,-211.776,346.435,-26.0673,-7.90766,10.3333,0.208795,-1.43658,0.00604533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,23,457.806,-71.1359,226.965,0.0177371,0.867959,1.27029,488.61,-211.778,346.432,-25.0702,-8.09737,9.52925,0.258765,-1.35111,-0.0711213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,24,457.808,-71.1695,227.027,0.017509,0.867946,1.27064,488.616,-211.782,346.425,-24.9084,-8.37689,8.6326,0.361803,-1.29839,-0.0129287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,25,457.819,-71.1857,227.054,0.017392,0.867921,1.2708,488.619,-211.785,346.421,-25.8696,-8.4883,9.21685,0.347598,-1.36476,0.0181391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,26,457.842,-71.1966,227.082,0.0172707,0.867873,1.27096,488.623,-211.787,346.417,-27.2391,-8.14468,9.6761,0.325758,-1.43519,-0.0186146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,27,457.842,-71.1966,227.082,0.0172707,0.867873,1.27096,488.623,-211.787,346.417,-27.2391,-8.14468,9.6761,0.325758,-1.43519,-0.0186146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,28,457.842,-71.1966,227.082,0.0172707,0.867873,1.27096,488.623,-211.787,346.417,-27.2391,-8.14468,9.6761,0.325758,-1.43519,-0.0186146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,29,457.842,-71.1966,227.082,0.0172707,0.867873,1.27096,488.623,-211.787,346.417,-27.2391,-8.14468,9.6761,0.325758,-1.43519,-0.0186146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,30,457.842,-71.1966,227.082,0.0172707,0.867873,1.27096,488.623,-211.787,346.417,-27.2391,-8.14468,9.6761,0.325758,-1.43519,-0.0186146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Start,31,458.04,-71.2809,227.141,0.0169665,0.867582,1.2713,488.639,-211.8,346.397,-28.4539,-5.62441,7.28644,0.323971,-1.34653,-0.00340264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
