NodeName,TCP_x,TCP_y,TCP_z,TCP_Rx,TCP_Ry,TCP_Rz,FLANGE_x,FLANGE_y,FLANGE_z,RowDataSensor0,RowDataSensor1,RowDataSensor2,RowDataSensor3,RowDataSensor4,RowDataSensor5,SPI0-0,SPI0-1,SPI0-2,SPI0-3,SPI0-4,SPI0-5,SPI0-6,SPI0-7,SPI1-0,SPI1-1,SPI1-2,SPI1-3,SPI1-4,SPI1-5,SPI1-6,SPI1-7,
Start,0.0918811,-0.454674,0.265001,0.777874,-0.0042587,0.484611,0.190867,-0.48063,0.38757,-30.7535,-8.02121,-11.1363,-0.209289,-1.41699,0.0920008,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0918852,-0.454674,0.264998,0.777877,-0.00425651,0.484869,0.190851,-0.480612,0.387588,-30.8613,-8.01408,-11.163,-0.212643,-1.43534,0.0860847,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0918909,-0.454675,0.264991,0.777884,-0.00425662,0.485384,0.190822,-0.480581,0.387619,-31.5719,-8.18427,-11.0369,-0.200667,-1.45544,0.0928769,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0918909,-0.454675,0.264991,0.777884,-0.00425662,0.485384,0.190822,-0.480581,0.387619,-31.5719,-8.18427,-11.0369,-0.200667,-1.45544,0.0928769,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0918936,-0.454676,0.264989,0.777888,-0.00425146,0.485643,0.19081,-0.480568,0.387631,-31.6828,-8.32648,-10.7703,-0.196667,-1.45285,0.090244,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919068,-0.454674,0.264981,0.777905,-0.00423081,0.486166,0.190791,-0.480548,0.387651,-31.747,-8.33987,-10.8765,-0.2012,-1.46831,0.0794949,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919109,-0.454673,0.264976,0.777903,-0.00423694,0.486391,0.190784,-0.48054,0.387659,-32.0761,-8.34184,-10.8998,-0.199505,-1.46692,0.0678966,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919109,-0.454673,0.264976,0.777903,-0.00423694,0.486391,0.190784,-0.48054,0.387659,-32.0761,-8.34184,-10.8998,-0.199505,-1.46692,0.0678966,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919135,-0.454669,0.264969,0.777885,-0.00424654,0.486575,0.190777,-0.480533,0.387666,-32.4933,-8.08741,-10.9674,-0.208752,-1.48036,0.00273924,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919271,-0.454653,0.264947,0.777831,-0.00426994,0.486812,0.190768,-0.480523,0.387676,-35.348,-8.43331,-10.7015,-0.209494,-1.61154,0.0376991,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919271,-0.454653,0.264947,0.777831,-0.00426994,0.486812,0.190768,-0.480523,0.387676,-35.348,-8.43331,-10.7015,-0.209494,-1.61154,0.0376991,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919421,-0.454639,0.264918,0.777804,-0.00432173,0.486895,0.190762,-0.480516,0.387682,-37.0786,-9.43773,-10.2949,-0.171439,-1.74722,0.011706,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919421,-0.454639,0.264918,0.777804,-0.00432173,0.486895,0.190762,-0.480516,0.387682,-37.0786,-9.43773,-10.2949,-0.171439,-1.74722,0.011706,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919519,-0.454631,0.264898,0.777832,-0.00437537,0.486874,0.190759,-0.480513,0.387686,-34.3631,-8.62699,-11.9686,-0.218018,-1.74228,0.100769,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919504,-0.454626,0.264896,0.77787,-0.00439313,0.486847,0.190758,-0.480512,0.387687,-32.312,-7.89832,-12.0798,-0.230061,-1.67704,0.0450275,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919467,-0.454616,0.264901,0.777907,-0.00440646,0.486806,0.190758,-0.480512,0.387687,-31.2612,-7.16511,-11.6543,-0.202195,-1.66756,0.0592508,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919474,-0.454604,0.264909,0.77794,-0.00442184,0.486779,0.190758,-0.480512,0.387687,-31.2038,-7.50512,-10.0197,-0.214944,-1.61893,0.0621113,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919522,-0.454589,0.264918,0.777965,-0.00442791,0.486765,0.190758,-0.480513,0.387686,-31.8316,-7.78043,-8.79882,-0.200128,-1.54287,0.0628075,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919567,-0.454574,0.264928,0.777982,-0.00441912,0.48675,0.190759,-0.480514,0.387685,-32.1893,-7.72527,-8.16986,-0.16779,-1.55357,0.0682729,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919668,-0.454552,0.264952,0.777991,-0.00439748,0.486713,0.190762,-0.480516,0.387683,-32.4185,-8.17613,-8.33678,-0.223,-1.55942,0.0446814,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919695,-0.454547,0.264968,0.777981,-0.00438145,0.486677,0.190763,-0.480518,0.387681,-31.7029,-8.73798,-8.49018,-0.169867,-1.53327,0.0600857,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919719,-0.454546,0.264987,0.777976,-0.00435874,0.486641,0.190765,-0.48052,0.387679,-31.0766,-9.21776,-8.26572,-0.149932,-1.52273,0.0573195,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919719,-0.454546,0.264987,0.777976,-0.00435874,0.486641,0.190765,-0.48052,0.387679,-31.0766,-9.21776,-8.26572,-0.149932,-1.52273,0.0573195,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919745,-0.454546,0.265004,0.777976,-0.00433785,0.486596,0.190767,-0.480522,0.387677,-30.5332,-9.11419,-8.41195,-0.166848,-1.50947,0.029802,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.091983,-0.45455,0.26504,0.777971,-0.00432447,0.486498,0.190771,-0.480527,0.387672,-29.8175,-8.74121,-8.84264,-0.15893,-1.48513,0.0413356,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919911,-0.454553,0.265058,0.777968,-0.00431788,0.486455,0.190774,-0.480529,0.38767,-30.2027,-8.636,-8.68315,-0.188972,-1.48636,0.038721,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0919968,-0.454556,0.265075,0.777967,-0.00431006,0.486415,0.190776,-0.480532,0.387667,-30.7722,-8.48141,-8.94755,-0.205183,-1.51052,0.0388767,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920012,-0.454564,0.265094,0.777951,-0.00430206,0.486376,0.190778,-0.480534,0.387665,-30.8988,-8.59513,-9.18,-0.184337,-1.52443,0.0472444,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.092004,-0.454573,0.26511,0.777935,-0.00428904,0.48634,0.190781,-0.480537,0.387662,-30.9066,-9.03215,-9.48732,-0.182569,-1.50708,0.0400229,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920088,-0.454583,0.265128,0.777908,-0.00428143,0.486308,0.190783,-0.48054,0.38766,-30.8203,-8.84488,-9.66761,-0.176498,-1.49932,0.0283985,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920136,-0.454594,0.265147,0.777876,-0.00427821,0.486282,0.190786,-0.480542,0.387657,-31.0538,-9.19187,-9.92221,-0.18403,-1.48896,0.0274346,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920136,-0.454594,0.265147,0.777876,-0.00427821,0.486282,0.190786,-0.480542,0.387657,-31.0538,-9.19187,-9.92221,-0.18403,-1.48896,0.0274346,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920307,-0.45461,0.265178,0.777813,-0.00429162,0.486241,0.190791,-0.480547,0.387652,-31.189,-8.97611,-9.98994,-0.182174,-1.4655,0.0220305,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920307,-0.45461,0.265178,0.777813,-0.00429162,0.486241,0.190791,-0.480547,0.387652,-31.189,-8.97611,-9.98994,-0.182174,-1.4655,0.0220305,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920529,-0.454619,0.265207,0.777762,-0.00433506,0.486201,0.190796,-0.480553,0.387647,-31.4458,-7.91272,-10.1365,-0.222643,-1.48685,0.0236162,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920649,-0.454625,0.26522,0.777741,-0.00436487,0.486177,0.190798,-0.480555,0.387644,-31.2142,-7.22134,-10.6366,-0.239566,-1.46432,0.0275158,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.092074,-0.454632,0.26523,0.777729,-0.00439246,0.486148,0.1908,-0.480558,0.387641,-30.9139,-6.27433,-10.7773,-0.251705,-1.44727,0.0276936,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920817,-0.454642,0.265239,0.777718,-0.00441208,0.486116,0.190803,-0.48056,0.387639,-30.6289,-6.06624,-11.1378,-0.274319,-1.44057,0.0242883,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.092085,-0.454656,0.265247,0.777704,-0.00443351,0.486075,0.190805,-0.480563,0.387637,-30.3763,-6.0848,-11.1872,-0.284301,-1.43113,0.0177564,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920822,-0.454688,0.265256,0.777688,-0.00446718,0.485982,0.190809,-0.480568,0.387632,-30.0823,-6.0951,-11.7987,-0.285547,-1.401,0.0232617,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920804,-0.454704,0.265259,0.777673,-0.0044881,0.485938,0.190811,-0.48057,0.38763,-30.1683,-6.09047,-12.1941,-0.292982,-1.38916,0.0193936,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920784,-0.454719,0.265262,0.77766,-0.00451697,0.485898,0.190814,-0.480572,0.387627,-30.6298,-6.01934,-12.3863,-0.297634,-1.37464,0.00646084,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.0920766,-0.454737,0.265264,0.777635,-0.00454718,0.485862,0.190816,-0.480574,0.387625,-30.8719,-6.05741,-12.5669,-0.311517,-1.39109,0.00684874,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
Start,0.092079,-0.454751,0.265264,0.777613,-0.00458124,0.485834,0.190818,-0.480577,0.387623,-31.4559,-5.93844,-12.8835,-0.33049,-1.4046,0.0107628,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,
